accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.860237717628479,0.9116384387016296,0.3236033320426941,0.6875,0.921875,0.652462899684906
0.9614647030830383,0.9894692897796631,0.11069757491350174,0.6875,0.9453125,0.6973580121994019
0.9675996899604797,0.9931334257125854,0.09063579887151718,0.75,0.953125,0.6107017993927002
0.970475435256958,0.9942617416381836,0.08145615458488464,0.8125,0.953125,0.4758157432079315
0.972967803478241,0.9955581426620483,0.07068376988172531,0.6875,0.9140625,0.9120279550552368
0.9752684235572815,0.9958553910255432,0.06798914819955826,0.8125,0.953125,0.49325963854789734
0.9764187335968018,0.9967994093894958,0.06168729439377785,0.6875,0.9765625,0.7976124286651611
0.9781441688537598,0.9966632127761841,0.060613058507442474,0.625,0.921875,1.2972464561462402
0.9777607321739197,0.9967659115791321,0.060041189193725586,0.8125,0.9921875,0.33073335886001587
0.980636477470398,0.9972943663597107,0.054459646344184875,0.6875,0.921875,0.941893994808197
0.9827454090118408,0.9979597330093384,0.04615522921085358,0.75,1.0,0.42239072918891907
0.9829370975494385,0.9980370998382568,0.04470111429691315,0.75,0.984375,0.5522027611732483
